Name,Path,Position,"Is Active","Url Key",Description,Image,"Page Title","Meta Keywords","Meta Description","Include In Menu","Display Mode","CMS Block","Is Anchor","Availabe Sort By","Default Sort By","Page Layout","Custom Layout Update"
PRINT,"Default Category/CATEGORIES/ART",1,Yes,print,,,,,,Yes,"Products only",,No,,,"No layout updates",
"ETCHING PRINT","Default Category/CATEGORIES/ART/PRINT",1,Yes,etching-print,,,,,,Yes,"Products only",,No,,,"No layout updates",
"LIMITED EDITION PRINT","GALERIE ART ETERNE root/CATEGORIES",1,Yes,limited-edition-print,,,,,,Yes,"Products only",,No,,,"No layout updates",
"SERIGRAPH PRINT","Default Category/CATEGORIES/ART/PRINT",1,Yes,serigraph-print,,,,,,Yes,"Products only",,No,,,"No layout updates",
LANDSCAPE,"Default Category/CATEGORIES/ART/DRAWING",1,Yes,landscape,,,,,,Yes,"Products only",,No,,,"No layout updates",
CUSHIONS,"Default Category/CATEGORIES/DECOR AND FURNISHINGS",1,Yes,cushions,,,,,,Yes,"Products only",,No,,,"No layout updates",
"CUSHIONS WITH INSERT","Default Category/CATEGORIES/DECOR AND FURNISHINGS/CUSHIONS",1,Yes,cushions-with-insert,,,,,,Yes,"Products only",,No,,,"No layout updates",
CATEGORIES,"INFONAUTS root",1,Yes,categories,,,,,,Yes,"Products only",,No,,,"No layout updates",
CUSHIONS,"INFONAUTS root/CATEGORIES",1,Yes,cushions,,,,,,Yes,"Products only",,No,,,"No layout updates",
HOOKS,"INFONAUTS root/CATEGORIES",1,Yes,hooks,,,,,,Yes,"Products only",,No,,,"No layout updates",
"GIFTS & COLLECTIBLES","Default Category/CATEGORIES",1,Yes,gifts-&-collectibles,,,,,,Yes,"Products only",,No,,,"No layout updates",
COLLECTIBLES,"Default Category/CATEGORIES/GIFTS & COLLECTIBLES",1,Yes,collectibles,,,,,,Yes,"Products only",,No,,,"No layout updates",
ARMOUR,"Default Category/CATEGORIES/GIFTS & COLLECTIBLES/COLLECTIBLES",1,Yes,armour,,,,,,Yes,"Products only",,No,,,"No layout updates",
CATEGORIES,"NAUTICAL MART root",1,Yes,categories,,,,,,Yes,"Products only",,No,,,"No layout updates",
"COLLECTIBLE REPLICA PROPS","NAUTICAL MART root/CATEGORIES",1,Yes,collectible-replica-props,,,,,,Yes,"Products only",,No,,,"No layout updates",
"NAUTICAL GIFTS AND CRAFTS","NAUTICAL MART root/CATEGORIES",1,Yes,nautical-gifts-and-crafts,,,,,,Yes,"Products only",,No,,,"No layout updates",
ASTRONOMY,"Default Category/CATEGORIES/GIFTS & COLLECTIBLES/COLLECTIBLES",1,Yes,astronomy,,,,,,Yes,"Products only",,No,,,"No layout updates",
"VINTAGE GIFTS","NAUTICAL MART root/CATEGORIES",1,Yes,vintage-gifts,,,,,,Yes,"Products only",,No,,,"No layout updates",
"NAUTICAL ANTIQUE","NAUTICAL MART root/CATEGORIES",1,Yes,nautical-antique,,,,,,Yes,"Products only",,No,,,"No layout updates",
"COLLECTIBLE MARINE PROP","NAUTICAL MART root/CATEGORIES",1,Yes,collectible-marine-prop,,,,,,Yes,"Products only",,No,,,"No layout updates",
"MOVIE PROPS","NAUTICAL MART root/CATEGORIES",1,Yes,movie-props,,,,,,Yes,"Products only",,No,,,"No layout updates",
"NAUTICAL ","Default Category/CATEGORIES/GIFTS & COLLECTIBLES/COLLECTIBLES",1,Yes,nautical-,,,,,,Yes,"Products only",,No,,,"No layout updates",
"CUSHION COVERS","Default Category/CATEGORIES/DECOR AND FURNISHINGS/CUSHIONS",1,Yes,cushion-covers,,,,,,Yes,"Products only",,No,,,"No layout updates",
CATEGORIES,"TUNGS10 root",1,Yes,categories,,,,,,Yes,"Products only",,No,,,"No layout updates",
CUSHIONS,"TUNGS10 root/CATEGORIES",1,Yes,cushions,,,,,,Yes,"Products only",,No,,,"No layout updates",
"CUPS & MUGS","Default Category/CATEGORIES/DINING",1,Yes,cups-&-mugs,,,,,,Yes,"Products only",,No,,,"No layout updates",
MUGS,"TUNGS10 root/CATEGORIES",1,Yes,mugs,,,,,,Yes,"Products only",,No,,,"No layout updates",
TUMBLERS,"Default Category/CATEGORIES/DINING/DRINKWARE",1,Yes,tumblers,,,,,,Yes,"Products only",,No,,,"No layout updates",
