Name,Path,Position,"Is Active","Url Key",Description,Image,"Page Title","Meta Keywords","Meta Description","Include In Menu","Display Mode","CMS Block","Is Anchor","Availabe Sort By","Default Sort By","Page Layout","Custom Layout Update"
"STORAGE BOXES","Default Category/CATEGORIES/FURNITURE/STORAGE",1,Yes,storage-boxes,,,,,,Yes,"Products only",,No,,,"No layout updates",
"STORAGE TRUNKS","Default Category/CATEGORIES/FURNITURE/STORAGE",1,Yes,storage-trunks,,,,,,Yes,"Products only",,No,,,"No layout updates",
"KITCHEN STORAGE","Default Category/CATEGORIES/FURNITURE/DINING ROOM",1,Yes,kitchen-storage,,,,,,Yes,"Products only",,No,,,"No layout updates",
TIMEPIECES,"Default Category/CATEGORIES/GIFTS & COLLECTIBLES/COLLECTIBLES",1,Yes,timepieces,,,,,,Yes,"Products only",,No,,,"No layout updates",
CLOCKS,"Default Category/CATEGORIES/DECOR & FURNISHING",1,Yes,clocks,,,,,,Yes,"Products only",,No,,,"No layout updates",
"TABLE ACCESSORIES","Default Category/CATEGORIES/DINING",1,Yes,table-accessories,,,,,,Yes,"Products only",,No,,,"No layout updates",
COASTERS,"Default Category/CATEGORIES/DINING/TABLE ACCESSORIES",1,Yes,coasters,,,,,,Yes,"Products only",,No,,,"No layout updates",
"WINE RACKS","Default Category/CATEGORIES/FURNITURE/BAR FURNITURE",1,Yes,wine-racks,,,,,,Yes,"Products only",,No,,,"No layout updates",
SOFAS,"Default Category/CATEGORIES/FURNITURE/LIVING ROOM",1,Yes,sofas,,,,,,Yes,"Products only",,No,,,"No layout updates",
OTTOMANS,"Default Category/CATEGORIES/FURNITURE/LIVING ROOM",1,Yes,ottomans,,,,,,Yes,"Products only",,No,,,"No layout updates",
"FLOOR CUSHIONS","Default Category/CATEGORIES/DECOR & FURNISHING/CUSHIONS",1,Yes,floor-cushions,,,,,,Yes,"Products only",,No,,,"No layout updates",
"ACCENT CHAIRS","Default Category/CATEGORIES/FURNITURE/LIVING ROOM",1,Yes,accent-chairs,,,,,,Yes,"Products only",,No,,,"No layout updates",
BAGS,"Default Category/CATEGORIES/FASHION/ACCESSORIES/ACCESSORIES MEN",1,Yes,bags,,,,,,Yes,"Products only",,No,,,"No layout updates",
POUFFES,"Default Category/CATEGORIES/FURNITURE/LIVING ROOM",1,Yes,pouffes,,,,,,Yes,"Products only",,No,,,"No layout updates",
BENCHES,"Default Category/CATEGORIES/FURNITURE/LIVING ROOM",1,Yes,benches,,,,,,Yes,"Products only",,No,,,"No layout updates",
"BAR TROLLEYS","Default Category/CATEGORIES/FURNITURE/BAR FURNITURE",1,Yes,bar-trolleys,,,,,,Yes,"Products only",,No,,,"No layout updates",
"DINING TABLES","Default Category/CATEGORIES/FURNITURE/DINING ROOM",1,Yes,dining-tables,,,,,,Yes,"Products only",,No,,,"No layout updates",
KIDS,"Default Category/CATEGORIES/FURNITURE",1,Yes,kids,,,,,,Yes,"Products only",,No,,,"No layout updates",
"DESK & CHAIR SETS","Default Category/CATEGORIES/FURNITURE/KIDS",1,Yes,desk-chair-sets,,,,,,Yes,"Products only",,No,,,"No layout updates",
CHAIRS,"Default Category/CATEGORIES/FURNITURE/KIDS",1,Yes,chairs,,,,,,Yes,"Products only",,No,,,"No layout updates",
"BAR CHAIRS","Default Category/CATEGORIES/FURNITURE/BAR FURNITURE",1,Yes,bar-chairs,,,,,,Yes,"Products only",,No,,,"No layout updates",
"BAR TABLES","Default Category/CATEGORIES/FURNITURE/BAR FURNITURE",1,Yes,bar-tables,,,,,,Yes,"Products only",,No,,,"No layout updates",
"WESTERN CASUAL","Default Category/CATEGORIES/FASHION/WOMEN",1,Yes,western-casual,,,,,,Yes,"Products only",,No,,,"No layout updates",
TOPS,"Default Category/CATEGORIES/FASHION/WOMEN/WESTERN CASUAL",1,Yes,tops,,,,,,Yes,"Products only",,No,,,"No layout updates",
DRESSES,"Default Category/CATEGORIES/FASHION/WOMEN/WESTERN CASUAL",1,Yes,dresses,,,,,,Yes,"Products only",,No,,,"No layout updates",
"TRIPOD LAMPS","Default Category/CATEGORIES/LIGHTING",1,Yes,tripod-lamps,,,,,,Yes,"Products only",,No,,,"No layout updates",
"QUIRK IT UP","Default Category/CATEGORIES/GIFTS & COLLECTIBLES",1,Yes,quirk-it-up,,,,,,Yes,"Products only",,No,,,"No layout updates",
STATIONERY,"Default Category/CATEGORIES/GIFTS & COLLECTIBLES",1,Yes,stationery,,,,,,Yes,"Products only",,No,,,"No layout updates",
NOTEBOOKS,"Default Category/CATEGORIES/GIFTS & COLLECTIBLES/STATIONERY",1,Yes,notebooks,,,,,,Yes,"Products only",,No,,,"No layout updates",
"WESTERN FORMAL","Default Category/CATEGORIES/FASHION/WOMEN",1,Yes,western-formal,,,,,,Yes,"Products only",,No,,,"No layout updates",
PANTS,"Default Category/CATEGORIES/FASHION/WOMEN/WESTERN FORMAL",1,Yes,pants,,,,,,Yes,"Products only",,No,,,"No layout updates",
JEANS,"Default Category/CATEGORIES/FASHION/WOMEN/WESTERN CASUAL",1,Yes,jeans,,,,,,Yes,"Products only",,No,,,"No layout updates",
HATS,"Default Category/CATEGORIES/FASHION/ACCESSORIES/ACCESSORIES WOMEN",1,Yes,hats,,,,,,Yes,"Products only",,No,,,"No layout updates",
JEWELLERY,"Default Category/CATEGORIES/FASHION/ACCESSORIES/ACCESSORIES WOMEN",1,Yes,jewellery,,,,,,Yes,"Products only",,No,,,"No layout updates",
SHOES,"Default Category/CATEGORIES/FASHION/ACCESSORIES/ACCESSORIES WOMEN",1,Yes,shoes,,,,,,Yes,"Products only",,No,,,"No layout updates",
MEN,"Default Category/CATEGORIES/FASHION",1,Yes,men,,,,,,Yes,"Products only",,No,,,"No layout updates",
"WESTERN FORMAL","Default Category/CATEGORIES/FASHION/MEN",1,Yes,western-formal,,,,,,Yes,"Products only",,No,,,"No layout updates",
PANTS,"Default Category/CATEGORIES/FASHION/MEN/WESTERN FORMAL",1,Yes,pants,,,,,,Yes,"Products only",,No,,,"No layout updates",
BELTS,"Default Category/CATEGORIES/FASHION/ACCESSORIES/ACCESSORIES MEN",1,Yes,belts,,,,,,Yes,"Products only",,No,,,"No layout updates",
AROMA,"Default Category/CATEGORIES/DECOR & FURNISHING",1,Yes,aroma,,,,,,Yes,"Products only",,No,,,"No layout updates",
CANDLES,"Default Category/CATEGORIES/DECOR & FURNISHING/CANDLES & VASES",1,Yes,candles,,,,,,Yes,"Products only",,No,,,"No layout updates",
SKIRTS,"Default Category/CATEGORIES/FASHION/WOMEN/WESTERN CASUAL",1,Yes,skirts,,,,,,Yes,"Products only",,No,,,"No layout updates",
"CHAIR CUSHIONS","Default Category/CATEGORIES/DECOR & FURNISHING/CUSHIONS",1,Yes,chair-cushions,,,,,,Yes,"Products only",,No,,,"No layout updates",
PLACEMATS,"Default Category/CATEGORIES/DINING/TABLE ACCESSORIES",1,Yes,placemats,,,,,,Yes,"Products only",,No,,,"No layout updates",
PILLOWS,"Default Category/CATEGORIES/DECOR & FURNISHING/BED LINEN",1,Yes,pillows,,,,,,Yes,"Products only",,No,,,"No layout updates",
"QUILTS & COMFORTERS","Default Category/CATEGORIES/DECOR & FURNISHING/BED LINEN",1,Yes,quilts-comforters,,,,,,Yes,"Products only",,No,,,"No layout updates",
"WINE GLASSES","Default Category/CATEGORIES/DINING/DRINKWARE",1,Yes,wine-glasses,,,,,,Yes,"Products only",,No,,,"No layout updates",
"PITCHERS & DECANTERS","Default Category/CATEGORIES/DINING/DRINKWARE",1,Yes,pitchers-decanters,,,,,,Yes,"Products only",,No,,,"No layout updates",
"CHAMPAGNE FLUTES","Default Category/CATEGORIES/DINING/DRINKWARE",1,Yes,champagne-flutes,,,,,,Yes,"Products only",,No,,,"No layout updates",
"WALL STICKERS","Default Category/CATEGORIES/DECOR & FURNISHING/WALL DECOR",1,Yes,wall-stickers,,,,,,Yes,"Products only",,No,,,"No layout updates",
"SERVING BOWLS","Default Category/CATEGORIES/DINING/SERVERWARE",1,Yes,serving-bowls,,,,,,Yes,"Products only",,No,,,"No layout updates",
"SERVING PLATTERS","Default Category/CATEGORIES/DINING/SERVERWARE",1,Yes,serving-platters,,,,,,Yes,"Products only",,No,,,"No layout updates",
SCONCES,"Default Category/CATEGORIES/LIGHTING",1,Yes,sconces,,,,,,Yes,"Products only",,No,,,"No layout updates",
BATH,"Default Category/CATEGORIES/DECOR & FURNISHING",1,Yes,bath,,,,,,Yes,"Products only",,No,,,"No layout updates",
"BATHROOM SETS","Default Category/CATEGORIES/DECOR & FURNISHING/BATH",1,Yes,bathroom-sets,,,,,,Yes,"Products only",,No,,,"No layout updates",
"DINNERWARE SETS","Default Category/CATEGORIES/DINING/DINNERWARE",1,Yes,dinnerware-sets,,,,,,Yes,"Products only",,No,,,"No layout updates",
"SERVING BASKETS","Default Category/CATEGORIES/DINING/SERVERWARE",1,Yes,serving-baskets,,,,,,Yes,"Products only",,No,,,"No layout updates",
"BUFFET & CHARGER PLATES","Default Category/CATEGORIES/DINING/DINNERWARE",1,Yes,buffet-charger-plates,,,,,,Yes,"Products only",,No,,,"No layout updates",
"APPETIZERS & DESSERT PLATES","Default Category/CATEGORIES/DINING/DINNERWARE",1,Yes,appetizers-dessert-plates,,,,,,Yes,"Products only",,No,,,"No layout updates",
SERVERWARE,"Default Category/CATEGORIES/DECOR & FURNISHING",1,Yes,serverware,,,,,,Yes,"Products only",,No,,,"No layout updates",
"SERVING BOWLS","Default Category/CATEGORIES/DECOR & FURNISHING/SERVERWARE",1,Yes,serving-bowls,,,,,,Yes,"Products only",,No,,,"No layout updates",
